id,name,price,type
1,sun,50,1
2,sun,50,1
3,sun,50,1
4,sun,50,1
5,sun,50,1
6,sun,50,1
7,sun,50,1
8,sun,50,1
9,sun,50,1
10,sun,50,1
11,exg,22,2
12,exg,22,2
13,exg,22,2
14,exg,22,2
15,exg,22,2
16,exg,22,2
17,exg,22,2
18,exg,22,2
19,exg,22,2
20,exg,22,2
21,noh,25,3
22,noh,25,3
23,noh,25,3
24,noh,25,3
25,noh,25,3
26,noh,25,3
27,noh,25,3
28,noh,25,3
29,noh,25,3
30,noh,25,3
31,jung,33,4
32,jung,33,4
33,jung,33,4
34,jung,33,4
35,jung,33,4
36,jung,33,4
37,jung,33,4
38,jung,33,4
39,jung,33,4
40,jung,33,4
41,min,66,5
42,min,66,5
43,min,66,5
44,min,66,5
45,min,66,5
46,min,66,5
47,min,66,5
48,min,66,5
49,min,66,5
50,min,66,5
